,symboling,normalized-losses, wheel-base, length, width, height, curb-weight, engine-size, compression-ratio, horsepower, peak-rpm, city-mpg, highway-mpg,  price,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location, engine-type, num-of-cylinders, fuel-system, bore, stroke,  price
69,0.0,93.0,106.7,187.5,70.3,54.9,3495.0,183.0,21.5,123.0,4350.0,22.0,25.0,28176.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi,3.58,3.64,28176
70,-1.0,93.0,115.6,202.6,71.7,56.3,3770.0,183.0,21.5,123.0,4350.0,22.0,25.0,31600.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,3.58,3.64,31600
71,-1.0,115.0,115.6,202.6,71.7,56.5,3740.0,234.0,8.3,155.0,4750.0,16.0,18.0,34184.0,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,3.46,3.10,34184
72,3.0,142.0,96.6,180.3,70.5,50.8,3685.0,234.0,8.3,155.0,4750.0,16.0,18.0,35056.0,mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi,3.46,3.10,35056
73,0.0,115.0,120.9,208.1,71.7,56.7,3900.0,308.0,8.0,184.0,4500.0,14.0,16.0,40960.0,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,3.80,3.35,40960
74,1.0,115.0,112.0,199.2,72.0,55.4,3715.0,304.0,8.0,184.0,4500.0,14.0,16.0,45400.0,mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi,3.80,3.35,45400
75,1.0,115.0,102.7,178.4,68.0,54.8,2910.0,140.0,8.0,175.0,5000.0,19.0,24.0,16503.0,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi,3.78,3.12,16503
76,2.0,161.0,93.7,157.3,64.4,50.8,1918.0,92.0,9.4,68.0,5500.0,37.0,41.0,5389.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,5389
77,2.0,161.0,93.7,157.3,64.4,50.8,1944.0,92.0,9.4,68.0,5500.0,31.0,38.0,6189.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,6189
78,2.0,161.0,93.7,157.3,64.4,50.8,2004.0,92.0,9.4,68.0,5500.0,31.0,38.0,6669.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,6669
79,1.0,161.0,93.0,157.3,63.8,50.8,2145.0,98.0,7.6,102.0,5500.0,24.0,30.0,7689.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.03,3.39,7689
80,3.0,153.0,96.3,173.0,65.4,49.4,2370.0,110.0,7.5,116.0,5500.0,23.0,30.0,9959.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.17,3.46,9959
81,3.0,153.0,96.3,173.0,65.4,49.4,2328.0,122.0,8.5,88.0,5000.0,25.0,32.0,8499.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.35,3.46,8499
82,3.0,115.0,95.9,173.2,66.3,50.2,2833.0,156.0,7.0,145.0,5000.0,19.0,24.0,12629.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.58,3.86,12629
83,3.0,115.0,95.9,173.2,66.3,50.2,2921.0,156.0,7.0,145.0,5000.0,19.0,24.0,14869.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.59,3.86,14869
84,3.0,115.0,95.9,173.2,66.3,50.2,2926.0,156.0,7.0,145.0,5000.0,19.0,24.0,14489.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.59,3.86,14489
85,1.0,125.0,96.3,172.4,65.4,51.6,2365.0,122.0,8.5,88.0,5000.0,25.0,32.0,6989.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.35,3.46,6989
86,1.0,125.0,96.3,172.4,65.4,51.6,2405.0,122.0,8.5,88.0,5000.0,25.0,32.0,8189.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.35,3.46,8189
87,1.0,125.0,96.3,172.4,65.4,51.6,2403.0,110.0,7.5,116.0,5500.0,23.0,30.0,9279.0,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi,3.17,3.46,9279
88,-1.0,137.0,96.3,172.4,65.4,51.6,2403.0,110.0,7.5,116.0,5500.0,23.0,30.0,9279.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi,3.17,3.46,9279
89,1.0,128.0,94.5,165.3,63.8,54.5,1889.0,97.0,9.4,69.0,5200.0,31.0,37.0,5499.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,5499
90,1.0,128.0,94.5,165.3,63.8,54.5,2017.0,103.0,21.9,55.0,4800.0,45.0,50.0,7099.0,nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi,2.99,3.47,7099
91,1.0,128.0,94.5,165.3,63.8,54.5,1918.0,97.0,9.4,69.0,5200.0,31.0,37.0,6649.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,6649
92,1.0,122.0,94.5,165.3,63.8,54.5,1938.0,97.0,9.4,69.0,5200.0,31.0,37.0,6849.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,6849
93,1.0,103.0,94.5,170.2,63.8,53.5,2024.0,97.0,9.4,69.0,5200.0,31.0,37.0,7349.0,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.15,3.29,7349
94,1.0,128.0,94.5,165.3,63.8,54.5,1951.0,97.0,9.4,69.0,5200.0,31.0,37.0,7299.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,7299
95,1.0,128.0,94.5,165.6,63.8,53.3,2028.0,97.0,9.4,69.0,5200.0,31.0,37.0,7799.0,nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.15,3.29,7799
96,1.0,122.0,94.5,165.3,63.8,54.5,1971.0,97.0,9.4,69.0,5200.0,31.0,37.0,7499.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,7499
97,1.0,103.0,94.5,170.2,63.8,53.5,2037.0,97.0,9.4,69.0,5200.0,31.0,37.0,7999.0,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.15,3.29,7999
98,2.0,168.0,95.1,162.4,63.8,53.3,2008.0,97.0,9.4,69.0,5200.0,31.0,37.0,8249.0,nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl,3.15,3.29,8249
99,0.0,106.0,97.2,173.4,65.2,54.7,2324.0,120.0,8.5,97.0,5200.0,27.0,34.0,8949.0,nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.33,3.47,8949
100,0.0,106.0,97.2,173.4,65.2,54.7,2302.0,120.0,8.5,97.0,5200.0,27.0,34.0,9549.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.33,3.47,9549
101,0.0,128.0,100.4,181.7,66.5,55.1,3095.0,181.0,9.0,152.0,5200.0,17.0,22.0,13499.0,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,3.43,3.27,13499
102,0.0,108.0,100.4,184.6,66.5,56.1,3296.0,181.0,9.0,152.0,5200.0,17.0,22.0,14399.0,nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi,3.43,3.27,14399
103,0.0,108.0,100.4,184.6,66.5,55.1,3060.0,181.0,9.0,152.0,5200.0,19.0,25.0,13499.0,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,3.43,3.27,13499
104,3.0,194.0,91.3,170.7,67.9,49.7,3071.0,181.0,9.0,160.0,5200.0,19.0,25.0,17199.0,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,3.43,3.27,17199
105,3.0,194.0,91.3,170.7,67.9,49.7,3139.0,181.0,7.8,200.0,5200.0,17.0,23.0,19699.0,nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,3.43,3.27,19699
106,1.0,231.0,99.2,178.5,67.9,49.7,3139.0,181.0,9.0,160.0,5200.0,19.0,25.0,18399.0,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,3.43,3.27,18399
107,0.0,161.0,107.9,186.7,68.4,56.7,3020.0,120.0,8.4,97.0,5000.0,19.0,24.0,11900.0,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,3.46,3.19,11900
108,0.0,161.0,107.9,186.7,68.4,56.7,3197.0,152.0,21.0,95.0,4150.0,28.0,33.0,13200.0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,3.70,3.52,13200
109,0.0,115.0,114.2,198.9,68.4,58.7,3230.0,120.0,8.4,97.0,5000.0,19.0,24.0,12440.0,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi,3.46,3.19,12440
110,0.0,115.0,114.2,198.9,68.4,58.7,3430.0,152.0,21.0,95.0,4150.0,25.0,25.0,13860.0,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi,3.70,3.52,13860
111,0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,8.4,95.0,5000.0,19.0,24.0,15580.0,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,3.46,2.19,15580
112,0.0,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,21.0,95.0,4150.0,28.0,33.0,16900.0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,3.70,3.52,16900
113,0.0,115.0,114.2,198.9,68.4,56.7,3285.0,120.0,8.4,95.0,5000.0,19.0,24.0,16695.0,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi,3.46,2.19,16695
114,0.0,115.0,114.2,198.9,68.4,58.7,3485.0,152.0,21.0,95.0,4150.0,25.0,25.0,17075.0,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi,3.70,3.52,17075
115,0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,8.4,97.0,5000.0,19.0,24.0,16630.0,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi,3.46,3.19,16630
116,0.0,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,21.0,95.0,4150.0,28.0,33.0,17950.0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi,3.70,3.52,17950
117,0.0,161.0,108.0,186.7,68.3,56.0,3130.0,134.0,7.0,142.0,5600.0,18.0,24.0,18150.0,peugot,gas,turbo,four,sedan,rwd,front,l,four,mpfi,3.61,3.21,18150
118,1.0,119.0,93.7,157.3,63.8,50.8,1918.0,90.0,9.4,68.0,5500.0,37.0,41.0,5572.0,plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,5572
119,1.0,119.0,93.7,157.3,63.8,50.8,2128.0,98.0,7.6,102.0,5500.0,24.0,30.0,7957.0,plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.03,3.39,7957
120,1.0,154.0,93.7,157.3,63.8,50.6,1967.0,90.0,9.4,68.0,5500.0,31.0,38.0,6229.0,plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,6229
121,1.0,154.0,93.7,167.3,63.8,50.8,1989.0,90.0,9.4,68.0,5500.0,31.0,38.0,6692.0,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97,3.23,6692
122,1.0,154.0,93.7,167.3,63.8,50.8,2191.0,98.0,9.4,68.0,5500.0,31.0,38.0,7609.0,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97,3.23,7609
123,-1.0,74.0,103.3,174.6,64.6,59.8,2535.0,122.0,8.5,88.0,5000.0,24.0,30.0,8921.0,plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.35,3.46,8921
124,3.0,115.0,95.9,173.2,66.3,50.2,2818.0,156.0,7.0,145.0,5000.0,19.0,24.0,12764.0,plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi,3.59,3.86,12764
125,3.0,186.0,94.5,168.9,68.3,50.2,2778.0,151.0,9.5,143.0,5500.0,19.0,27.0,22018.0,porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,3.94,3.11,22018
126,3.0,115.0,89.5,168.9,65.0,51.6,2756.0,194.0,9.5,207.0,5900.0,17.0,25.0,32528.0,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,3.74,2.90,32528
127,3.0,115.0,89.5,168.9,65.0,51.6,2756.0,194.0,9.5,207.0,5900.0,17.0,25.0,34028.0,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,3.74,2.90,34028
128,3.0,115.0,89.5,168.9,65.0,51.6,2800.0,194.0,9.5,207.0,5900.0,17.0,25.0,37028.0,porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi,3.74,2.90,37028
129,1.0,115.0,98.4,175.7,72.3,50.5,3366.0,203.0,10.0,288.0,5750.0,17.0,28.0,10295.0,porsche,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi,3.94,3.11,13499
